Time_ns,CH0-ThumbLow,CH1-ThumbUp,CH2-Pointer,CH3-Middle,CH4-Ring,CH5-Pinky
5177723671494700,2368,1848,2060,1882,2092,2090
5177723671494700,2376,1849,2060,1888,1801,2088
5177723671494700,2368,1850,2060,1880,2055,2090
5177723671494700,2366,1850,2061,1881,2054,2090
5177723678195400,2369,1849,2057,1883,2057,2090
5177723678195400,2368,1850,2058,1882,2057,2090
5177723678195400,2369,1853,2060,1883,2057,2088
5177723678195400,2368,1850,2060,1881,2057,2094
5177723688864600,2368,1900,2062,1886,2058,2066
5177723688864600,2404,1850,2057,1888,1801,2090
5177723688864600,2369,1848,2060,1884,2060,2090
5177723688864600,2368,1848,2082,1887,2058,2090
5177723688864600,2368,1850,2061,1880,2058,2087
5177723696837700,2369,1851,2061,1881,2058,2089
5177723696837700,2368,1849,2061,1883,2061,2089
5177723696837700,2369,1851,2064,1880,2057,2091
5177723696837700,2485,1851,2058,1882,2057,2090
5177723704679300,2367,1848,2055,1883,2056,2091
5177723704679300,2367,1848,2058,1882,2056,2087
5177723704679300,2368,1852,2059,1878,2057,2092
5177723704679300,2368,1849,2059,1879,2039,2087
5177723714482100,2367,1852,2058,1879,2056,2088
5177723714482100,2368,1850,2061,1880,2058,2090
5177723714482100,2368,1845,2059,1884,2058,2144
5177723714482100,2370,1850,2061,1882,2218,2089
5177723714482100,2368,1850,2059,1883,2059,2089
5177723722302300,2370,1851,2058,1884,2060,2090
5177723722302300,2371,1849,2061,1881,2057,2093
5177723722302300,2368,1849,2061,1880,2057,2090
5177723722302300,2367,1846,2061,1887,2056,2090
5177723732314000,2368,1850,2061,1886,2056,2089
5177723732314000,2368,1862,2059,1884,2060,2090
5177723732314000,2366,1849,2061,1888,2058,2093
5177723732314000,2368,1848,2048,1886,2057,2089
5177723732314000,2369,1850,2061,1945,2053,2089
5177723741560300,2368,1849,2059,1886,2072,2092
5177723741560300,2368,1850,2067,1883,2057,2091
5177723741560300,2369,1849,2058,1882,2058,2090
5177723741560300,2369,1847,2060,1884,2058,2089
5177723751257800,2369,1846,2060,1886,2057,2093
5177723751257800,2369,1852,2060,1885,2096,2091
5177723751257800,2368,1849,2062,1883,2056,1833
5177723751257800,2368,1850,2059,1886,2056,2092
5177723751257800,2370,1851,2055,1885,2056,2090
5177723759095500,2369,1850,2068,1885,2055,2090
5177723759095500,2370,1846,2061,1883,2056,2091
5177723759095500,2368,1850,2061,1885,2056,2090
5177723759095500,2371,1867,2059,1878,2056,2090
5177723766625900,2369,1712,2061,1881,2092,2092
5177723766625900,2372,1851,2060,1886,2056,2093
5177723766625900,2371,1850,2058,1883,2054,2090
5177723766625900,2371,1852,2059,1886,2057,2090
5177723776132500,2370,1849,2059,1884,2058,2164
5177723776132500,2372,1850,2064,1887,2056,2096
5177723776132500,2370,1850,2056,1884,2053,2092
5177723776132500,2377,1850,2061,1882,2058,2092
5177723776132500,2380,1850,2060,1889,2052,2090
5177723785329600,2373,1850,2060,1885,2056,2115
5177723785329600,2377,1849,2060,1887,2057,2091
5177723785329600,2373,1849,2058,1885,2073,2090
5177723785329600,2373,1849,2060,1884,2056,2092
5177723794883200,2374,1850,2082,1885,2055,2100
5177723794883200,2370,1850,2059,1885,2056,2092
5177723794883200,2375,1849,2059,1886,2096,2093
5177723794883200,2382,1849,2060,1892,1800,2091
5177723794883200,2376,1853,2059,1886,2050,2095
5177723802654600,2373,1848,2058,1886,2056,2092
5177723802654600,2376,1850,2061,1886,2058,2090
5177723802654600,2372,1857,2058,1882,2056,2091
5177723802654600,2373,1849,2061,1882,2056,2095
5177723812248700,2373,1847,2060,1889,2053,2093
5177723812248700,2374,1899,2061,1884,2060,2125
5177723812248700,2410,1850,2060,1892,1801,2092
5177723812248700,2374,1850,2062,1888,2058,2093
5177723812248700,2376,1847,2083,1855,2060,2093
5177723821656100,2376,1850,2059,1882,2059,2092
5177723821656100,2376,1850,2058,1888,2057,2090
5177723821656100,2372,1848,2060,1885,2058,2091
5177723821656100,2376,1848,2065,1883,2055,2091
5177723829369100,2492,1847,2060,1884,2056,2092
5177723829369100,2379,1848,2059,1881,2058,2094
5177723829369100,2377,1850,2062,1884,2054,2087
5177723829369100,2372,1849,2061,1886,2056,2093
5177723838634800,2374,1851,2059,1881,2036,2089
5177723838634800,2375,1851,2057,1888,2055,2094
5177723838634800,2377,1853,2061,1885,2056,2093
5177723838634800,2378,1848,2060,1882,2056,2143
5177723838634800,2374,1848,2056,1878,2218,2089
5177723847712500,2375,1850,2060,1886,2057,2094
5177723847712500,2376,1850,2060,1882,2053,2091
5177723847712500,2374,1849,2063,1887,2056,2091
5177723847712500,2376,1849,2063,1882,2056,2092
5177723856183000,2374,1849,2061,1884,2055,2093
5177723856183000,2379,1850,2058,1880,2057,2092
5177723856183000,2374,1860,2059,1881,2063,2091
5177723856183000,2377,1851,2058,1888,2057,2091
5177723856183000,2376,1849,2073,1884,2058,2093
5177723865524800,2376,1851,2060,1924,2056,2088
