timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,button,toggle
5177724148190700,0.000000,0.000000,0.000000,0.999917,-0.011889,0.002072,-0.004510,False,False
5177724165372400,0.000000,0.000000,0.000000,0.999908,-0.012405,0.002591,-0.004873,False,False
5177724182155400,0.000000,0.000000,0.000000,0.999887,-0.013319,0.003919,-0.005697,False,False
5177724199910100,0.000000,0.000000,0.000000,0.999863,-0.014277,0.005390,-0.006415,False,False
5177724216991900,0.000000,0.000000,0.000000,0.999849,-0.014863,0.006020,-0.006624,False,False
5177724233987800,0.000000,0.000000,0.000000,0.999823,-0.016299,0.006694,-0.006552,False,False
5177724251113900,0.000000,0.000000,0.000000,0.999794,-0.017875,0.007313,-0.006260,False,False
5177724268450500,0.000000,0.000000,0.000000,0.999778,-0.018682,0.007541,-0.006105,False,False
5177724285253000,0.000000,0.000000,0.000000,0.999748,-0.020215,0.007781,-0.005946,False,False
5177724302874300,0.000000,0.000000,0.000000,0.999719,-0.021479,0.007894,-0.006253,False,False
5177724319694300,0.000000,0.000000,0.000000,0.999705,-0.021962,0.007957,-0.006600,False,False
5177724337229200,0.000000,0.000000,0.000000,0.999683,-0.022676,0.008004,-0.007446,False,False
5177724354546100,0.000000,0.000000,0.000000,0.999653,-0.023476,0.008361,-0.008503,False,False
5177724371575700,0.000000,0.000000,0.000000,0.999633,-0.024100,0.008568,-0.008911,False,False
5177724388794700,0.000000,0.000000,0.000000,0.999586,-0.025786,0.008901,-0.009174,False,False
5177724405735900,0.000000,0.000000,0.000000,0.999524,-0.028042,0.009290,-0.008885,False,False
5177724422265300,0.000000,0.000000,0.000000,0.999486,-0.029332,0.009516,-0.008718,False,False
5177724439936700,0.000000,0.000000,0.000000,0.999403,-0.032028,0.009830,-0.008451,False,False
5177724457048000,0.000000,0.000000,0.000000,0.999326,-0.034578,0.009284,-0.008137,False,False
5177724474732000,0.000000,0.000000,0.000000,0.999291,-0.035725,0.008783,-0.008030,False,False
5177724491953500,0.000000,0.000000,0.000000,0.999229,-0.037700,0.007400,-0.008027,False,False
5177724509305800,0.000000,0.000000,0.000000,0.999162,-0.039709,0.005415,-0.008373,False,False
5177724526855600,0.000000,0.000000,0.000000,0.999138,-0.040409,0.004325,-0.008486,False,False
5177724544319900,0.000000,0.000000,0.000000,0.999135,-0.040610,0.003283,-0.008291,False,False
5177724561871100,0.000000,0.000000,0.000000,0.999144,-0.040498,0.002700,-0.008031,False,False
5177724579669900,0.000000,0.000000,0.000000,0.999175,-0.039902,0.001418,-0.007433,False,False
5177724596765200,0.000000,0.000000,0.000000,0.999217,-0.038888,0.000405,-0.007312,False,False
5177724614974500,0.000000,0.000000,0.000000,0.999240,-0.038251,0.000169,-0.007530,False,False
5177724632045000,0.000000,0.000000,0.000000,0.999289,-0.036832,0.000030,-0.008099,False,False
5177724649173000,0.000000,0.000000,0.000000,0.999340,-0.035366,-0.000046,-0.008265,False,False
5177724665888300,0.000000,0.000000,0.000000,0.999366,-0.034661,-0.000049,-0.008178,False,False
5177724682696600,0.000000,0.000000,0.000000,0.999414,-0.033334,-0.000078,-0.007797,False,False
5177724700673100,0.000000,0.000000,0.000000,0.999452,-0.032251,0.000189,-0.007400,False,False
