Timestamp (ISO),CH0-ThumbLower,CH1-ThumbUpper,CH2-Pointer,CH3-Middle,CH4-Ring,CH5-Pinky
2026-01-28 17:34:52.445-0800,1224,1989,1825,1728,1894,3938
2026-01-28 17:34:52.461-0800,1224,1988,1824,1728,1896,3939
2026-01-28 17:34:52.461-0800,1224,1987,1824,1729,1893,3930
2026-01-28 17:34:52.477-0800,1224,1987,1824,1729,1895,3926
2026-01-28 17:34:52.493-0800,1224,1987,1824,1728,1894,3937
2026-01-28 17:34:52.510-0800,1224,1988,1824,1729,1894,3937
2026-01-28 17:34:52.511-0800,1224,1988,1824,1729,1894,3932
2026-01-28 17:34:52.525-0800,1224,1988,1825,1729,1895,3940
2026-01-28 17:34:52.541-0800,1224,1988,1824,1729,1895,3930
2026-01-28 17:34:52.557-0800,1224,1988,1823,1728,1895,3937
2026-01-28 17:34:52.557-0800,1225,1988,1823,1729,1895,3937
2026-01-28 17:34:52.573-0800,1225,1988,1823,1728,1897,3933
2026-01-28 17:34:52.589-0800,1223,1988,1824,1728,1895,3936
2026-01-28 17:34:52.605-0800,1225,1988,1823,1729,1895,3938
2026-01-28 17:34:52.605-0800,1223,1987,1824,1729,1894,3942
2026-01-28 17:34:52.621-0800,1224,1988,1824,1730,1893,3954
2026-01-28 17:34:52.637-0800,1224,1987,1823,1729,1895,3938
2026-01-28 17:34:52.653-0800,1225,1987,1823,1729,1895,3935
2026-01-28 17:34:52.653-0800,1224,1988,1824,1729,1894,3933
2026-01-28 17:34:52.669-0800,1225,1988,1823,1729,1894,3932
2026-01-28 17:34:52.685-0800,1224,1988,1825,1729,1894,3950
2026-01-28 17:34:52.701-0800,1225,1988,1825,1729,1894,3940
2026-01-28 17:34:52.701-0800,1224,1988,1824,1729,1896,3953
2026-01-28 17:34:52.717-0800,1225,1987,1824,1729,1893,3916
2026-01-28 17:34:52.733-0800,1225,1987,1823,1728,1895,3943
2026-01-28 17:34:52.749-0800,1225,1987,1824,1728,1894,3951
2026-01-28 17:34:52.749-0800,1225,1987,1824,1729,1895,3921
2026-01-28 17:34:52.765-0800,1225,1988,1824,1729,1894,3938
2026-01-28 17:34:52.781-0800,1225,1987,1824,1729,1895,3934
2026-01-28 17:34:52.797-0800,1225,1988,1823,1729,1894,3932
2026-01-28 17:34:52.797-0800,1224,1988,1823,1728,1896,3933
2026-01-28 17:34:52.813-0800,1224,1988,1823,1728,1896,3935
2026-01-28 17:34:52.829-0800,1225,1988,1824,1729,1896,3933
2026-01-28 17:34:52.845-0800,1224,1988,1824,1729,1894,3932
2026-01-28 17:34:52.845-0800,1225,1988,1823,1728,1894,3933
2026-01-28 17:34:52.861-0800,1224,1988,1823,1728,1893,3937
2026-01-28 17:34:52.877-0800,1225,1988,1824,1730,1894,3934
2026-01-28 17:34:52.893-0800,1230,1987,1823,1728,1895,3922
2026-01-28 17:34:52.893-0800,1232,1987,1823,1728,1894,3921
2026-01-28 17:34:52.909-0800,1235,1988,1824,1729,1894,3945
2026-01-28 17:34:52.925-0800,1239,1988,1823,1729,1894,3924
2026-01-28 17:34:52.941-0800,1241,1989,1825,1729,1895,3938
2026-01-28 17:34:52.941-0800,1243,1988,1825,1728,1894,3932
2026-01-28 17:34:52.957-0800,1250,1988,1824,1729,1896,3933
2026-01-28 17:34:52.973-0800,1252,1987,1824,1729,1895,3932
2026-01-28 17:34:52.989-0800,1256,1988,1824,1729,1893,3932
2026-01-28 17:34:52.989-0800,1261,1989,1824,1729,1895,3930
2026-01-28 17:34:53.005-0800,1268,1989,1824,1729,1894,3937
2026-01-28 17:34:53.021-0800,1273,1987,1824,1728,1896,3933
2026-01-28 17:34:53.037-0800,1281,1987,1824,1729,1894,3934
2026-01-28 17:34:53.037-0800,1285,1988,1822,1729,1895,3931
2026-01-28 17:34:53.053-0800,1289,1987,1824,1728,1896,3931
2026-01-28 17:34:53.069-0800,1293,1988,1824,1728,1895,3937
2026-01-28 17:34:53.085-0800,1297,1988,1824,1729,1895,3955
2026-01-28 17:34:53.085-0800,1302,1988,1824,1727,1894,3949
2026-01-28 17:34:53.101-0800,1307,1988,1823,1728,1894,3939
2026-01-28 17:34:53.117-0800,1316,1987,1824,1727,1894,3923
2026-01-28 17:34:53.133-0800,1326,1988,1824,1729,1894,3942
2026-01-28 17:34:53.133-0800,1337,1988,1824,1728,1895,3938
2026-01-28 17:34:53.149-0800,1351,1987,1824,1728,1894,3933
2026-01-28 17:34:53.165-0800,1363,1988,1824,1728,1893,3934
2026-01-28 17:34:53.181-0800,1376,1987,2022,1727,1894,3935
2026-01-28 17:34:53.181-0800,1387,1989,1825,1727,1895,3934
2026-01-28 17:34:53.197-0800,1401,1992,1828,1730,1897,3948
2026-01-28 17:34:53.213-0800,1414,1990,1827,1730,1898,3945
2026-01-28 17:34:53.229-0800,1428,1990,1826,1731,1897,3944
2026-01-28 17:34:53.229-0800,1442,1989,1826,1730,1898,3930
2026-01-28 17:34:53.245-0800,1457,1991,1826,1730,1896,3962
2026-01-28 17:34:53.261-0800,1473,1991,1827,1729,1897,3941
2026-01-28 17:34:53.277-0800,1492,1989,1826,1728,1896,3950
2026-01-28 17:34:53.277-0800,1515,1991,1827,1730,1897,3962
2026-01-28 17:34:53.293-0800,1543,1992,1826,1731,1897,3938
2026-01-28 17:34:53.309-0800,1571,1995,1827,1729,1898,3933
2026-01-28 17:34:53.325-0800,1599,1998,1827,1729,1898,3943
2026-01-28 17:34:53.325-0800,1624,1999,1827,1729,1898,3936
2026-01-28 17:34:53.341-0800,1643,2000,1827,1729,1898,3928
2026-01-28 17:34:53.357-0800,1658,1999,1826,1729,1897,3955
2026-01-28 17:34:53.373-0800,1669,1999,1826,1729,1897,3960
2026-01-28 17:34:53.373-0800,1682,2000,1827,1730,1896,3982
2026-01-28 17:34:53.389-0800,1693,2000,1827,1729,1898,3959
2026-01-28 17:34:53.405-0800,1707,1999,1826,1729,1897,3961
2026-01-28 17:34:53.421-0800,1725,1999,1825,1729,1897,3959
2026-01-28 17:34:53.421-0800,1738,1999,1827,1729,1897,3960
2026-01-28 17:34:53.437-0800,1753,1999,1827,1730,1897,3972
2026-01-28 17:34:53.453-0800,1762,2000,1827,1730,1898,3959
2026-01-28 17:34:53.469-0800,1769,1999,1826,1731,1898,3967
2026-01-28 17:34:53.469-0800,1774,2000,1826,1730,1897,3962
2026-01-28 17:34:53.485-0800,1781,1999,1826,1730,1899,3959
2026-01-28 17:34:53.501-0800,1791,1998,1826,1730,1897,3955
2026-01-28 17:34:53.517-0800,1801,1999,1827,1729,1897,3960
2026-01-28 17:34:53.517-0800,1810,1999,1826,1729,1898,3966
2026-01-28 17:34:53.533-0800,1822,2003,1827,1731,1898,3956
2026-01-28 17:34:53.549-0800,1831,1999,1826,1731,1897,3964
2026-01-28 17:34:53.565-0800,1844,1990,1827,1731,1899,3959
2026-01-28 17:34:53.565-0800,1852,1981,1826,1730,1898,3957
2026-01-28 17:34:53.581-0800,1861,1973,1827,1730,1897,3961
2026-01-28 17:34:53.597-0800,1867,1966,1827,1730,1898,3968
2026-01-28 17:34:53.613-0800,1870,1962,1826,1730,1897,3977
2026-01-28 17:34:53.613-0800,1876,1959,1826,1730,1897,3958
2026-01-28 17:34:53.629-0800,1877,1956,1826,1731,1896,3960
2026-01-28 17:34:53.645-0800,1883,1953,1827,1730,1898,3959
2026-01-28 17:34:53.661-0800,1885,1953,1826,1730,1897,3965
2026-01-28 17:34:53.661-0800,1886,1952,1826,1730,1897,3962
2026-01-28 17:34:53.677-0800,1887,1950,2028,1730,1896,3973
2026-01-28 17:34:53.693-0800,1888,1947,1827,1732,1898,3968
2026-01-28 17:34:53.709-0800,1889,1944,1827,1731,1897,3968
2026-01-28 17:34:53.709-0800,1894,1942,1826,1733,1898,3963
2026-01-28 17:34:53.725-0800,1893,1941,1827,1733,1897,3956
2026-01-28 17:34:53.741-0800,1895,1942,1827,1733,1899,3966
2026-01-28 17:34:53.757-0800,1894,1943,1826,1733,1897,3964
2026-01-28 17:34:53.757-0800,1894,1941,1827,1732,1895,3957
2026-01-28 17:34:53.773-0800,1894,1942,1825,1733,1897,3958
2026-01-28 17:34:53.789-0800,1890,1942,1827,1734,1897,3964
2026-01-28 17:34:53.805-0800,1889,1943,1826,1735,1897,3958
2026-01-28 17:34:53.805-0800,1886,1947,1826,1735,1898,3955
2026-01-28 17:34:53.823-0800,1886,1950,1827,1735,1898,3963
2026-01-28 17:34:53.842-0800,1886,1954,1827,1736,1899,3950
2026-01-28 17:34:53.853-0800,1887,1955,1827,1736,1897,3964
2026-01-28 17:34:53.853-0800,1887,1956,1828,1736,1896,3963
2026-01-28 17:34:53.869-0800,1887,1955,1826,1736,1897,3959
2026-01-28 17:34:53.885-0800,1887,1956,1827,1737,1897,3962
2026-01-28 17:34:53.901-0800,1888,1955,1828,1736,1898,3964
2026-01-28 17:34:53.901-0800,1887,1955,1827,1737,1898,3944
