Time_Sec,CH0-ThumbLow,CH1-ThumbUp,CH2-Pointer,CH3-Middle,CH4-Ring,CH5-Pinky
4744185671552400,2426,1860,1991,1938,2137,2167
4744185671871700,2296,1862,1992,1937,2133,2165
4744185672335800,2301,1859,1992,1937,2132,2166
4744185672598900,2300,1859,1992,1936,2136,2166
4744185672686100,2300,1861,1990,1936,2134,2165
4744185672870800,2300,1863,1992,1936,2134,2168
4744185673181400,2297,1861,1990,1939,2132,2167
4744185673420000,2298,1861,1992,1936,2136,2213
4744185673648200,2298,1860,1989,1937,2286,2168
4744185673719500,2302,1860,1992,1937,2136,2166
4744185673975900,2299,1862,1991,1936,2136,2166
4744185674065900,2298,1861,1993,1937,2135,2165
4744185674331800,2298,1861,1991,1938,2134,2167
4744185674435800,2301,1858,1992,1937,2135,2166
4744185674752700,2301,1858,1991,1936,2136,2166
4744185674817400,2298,1868,1991,1936,2135,2166
4744185674862300,2298,1860,1990,1937,2134,2167
4744185674907200,2298,1859,1991,1937,2134,2168
4744185674950900,2302,1860,1992,1958,2135,2165
4744185674999300,2297,1859,1990,1936,2135,2166
4744185675047200,2298,1861,2002,1938,2134,2168
4744185675103700,2297,1861,1992,1938,2136,2166
4744185675151400,2299,1863,1990,1938,2134,2166
4744185675196400,2299,1863,1993,1938,2133,2169
4744185675257000,2296,1861,1990,1939,2154,2166
4744185675308600,2297,1858,1991,1936,2136,2167
4744185675361100,2300,1859,1991,1938,2138,2165
4744185675412600,2298,1861,1991,1936,2135,2166
4744185675472700,2299,1861,2002,1937,2133,2166
4744185675535000,2300,1861,1991,1937,2136,2171
4744185675591700,2300,1859,1992,1937,2135,2166
4744185675845500,2299,1882,1992,1936,2139,2356
4744185675928500,2299,1708,1992,1937,2148,2165
4744185676029900,2299,1860,1992,1937,2136,2166
4744185676250500,2299,1860,1991,1938,2134,2167
4744185676421300,2299,1862,1991,1936,2137,2167
4744185676523400,2301,1859,1993,1936,2137,2199
4744185676607700,2300,1861,2001,1938,2134,2169
4744185677053400,2298,1860,1991,1938,2133,2167
4744185677420500,2300,1861,1990,1937,2136,2168
4744185677571600,2300,1859,1990,1938,2135,2167
4744185677648900,2298,1862,1990,1937,2134,2200
4744185677783700,2301,1861,1990,1938,2134,2166
4744185678070100,2299,1861,1991,1937,2136,2169
4744185678228400,2298,1862,1992,1937,2136,2166
4744185678546800,2300,1860,1988,1936,2134,2169
4744185678804900,2299,1859,1992,1938,2135,2169
4744185678951900,2297,1860,1992,1938,2131,2166
4744185679041200,2298,1861,1992,1938,2134,2167
4744185679296800,2297,1864,1990,1937,2136,2166
4744185679668400,2298,1860,1993,1937,2132,2214
4744185679755600,2297,1861,1989,1936,2136,2168
4744185680074000,2299,1861,1990,1938,2136,2167
4744185680152900,2301,1861,1991,1937,2134,2168
4744185680212100,2300,1860,1991,1938,2137,2166
4744185680266200,2300,1887,1992,1936,2137,2165
4744185680334600,2326,1860,1991,1938,1879,2165
4744185680515200,2298,1860,1991,1938,2135,2166
4744185680644000,2292,1855,2013,1936,2147,2168
4744185680730600,2293,1849,2001,1936,2138,2177
4744185680802600,2291,1850,1999,1936,2146,2151
4744185680868400,2299,1851,1992,1938,2143,2168
4744185680981400,2296,1851,2004,1937,2143,2179
4744185681076700,2417,1858,1987,1940,2123,2184
4744185681145600,2297,1870,1982,1938,2137,2152
4744185681207400,2293,1851,1999,1938,2129,2180
4744185681588700,2304,1875,1980,1936,2137,2151
4744185682031700,2305,1867,1984,1936,2121,2176
4744185682150900,2302,1872,1985,1939,2136,2150
4744185682247000,2304,1872,1982,1936,2122,2181
4744185682315800,2290,1851,1993,1938,2149,2200
4744185682391700,2292,1852,1992,1938,2273,2175
4744185682459000,2305,1861,1997,1935,2150,2154
4744185682854300,2299,1855,2001,1936,2139,2176
4744185683067000,2300,1869,1999,1937,2125,2183
4744185683165700,2302,1858,1986,1937,2148,2150
4744185683349400,2299,1873,1985,1936,2145,2150
4744185683464100,2294,1848,1997,1937,2139,2174
4744185683563900,2299,1868,1992,1938,2133,2167
4744185683640700,2301,1859,1990,1938,2136,2168
4744185683709800,2300,1860,1992,1937,2133,2166
4744185683789700,2299,1859,1990,1938,2134,2165
