Time_ns,CH0-ThumbLow,CH1-ThumbUp,CH2-Pointer,CH3-Middle,CH4-Ring,CH5-Pinky
4920438882863400,2326,1826,2129,1912,4028,1779
4920438882895500,2328,1825,2131,1911,4032,1548
4920438882913400,2326,1826,2129,1913,4029,1780
4920438882930400,2327,1825,2131,1911,4034,1778
4920438882947300,2328,1826,2131,1912,4028,1779
4920438882964000,2326,1827,2137,1913,4032,1783
4920438882981400,2326,1826,2132,1911,4034,1778
4920438883060200,2326,1829,2130,1912,4076,1779
4920438883077300,2324,1826,2130,1917,4028,1778
4920438883093900,2327,1831,2132,1912,4028,1778
4920438883110300,2327,1825,2130,1912,4032,1822
4920438883127000,2327,1828,2129,1913,4027,1778
4920438883143600,2326,1827,2131,1911,4026,1779
4920438883160300,2327,1826,2130,1912,4030,1778
4920438883177100,2325,1827,2130,1913,4032,1778
4920438883194000,2328,1850,2131,1913,4029,1824
4920438883210800,2349,1826,2130,1910,4031,1779
4920438883227600,2327,1826,2130,1914,4035,1779
4920438883252900,2329,1826,2144,1911,4032,1775
4920438883270000,2326,1827,2132,1913,4028,1779
4920438883286000,2326,1827,2130,1913,4030,1777
4920438883303500,2326,1829,2132,1912,4032,1778
4920438883323500,2328,1826,2132,1912,4032,1779
4920438883339300,2450,1826,2131,1914,4027,1778
4920438883355100,2325,1828,2132,1914,4027,1779
4920438883371000,2328,1826,2130,1913,4028,1778
4920438883386800,2327,1826,2131,1911,4028,1780
4920438883404600,2325,1826,2130,1912,4074,1778
4920438883457200,2326,1826,2130,1914,4033,1781
4920438883473800,2327,1825,2131,1912,4032,1779
4920438883490500,2326,1826,2131,1912,4032,1827
4920438883507100,2328,1825,2129,1911,4095,1778
4920438883523600,2327,1825,2132,1912,4035,1778
4920438883545700,2327,1826,2130,1914,4030,1778
4920438883563400,2328,1826,2131,1913,4030,1777
4920438883581000,2328,1825,2130,1914,4032,1780
4920438883598600,2326,1826,2132,1754,4031,1776
4920438883620200,2327,1826,2130,1911,4034,1780
4920438883636500,2328,1828,2130,1913,4024,1779
4920438883652700,2330,1827,2129,1912,4029,1778
4920438883668900,2327,1825,2130,1911,4030,1778
4920438883687300,2327,1826,2130,1913,4026,1778
4920438883705000,2326,1823,2130,1912,4031,1778
4920438883722600,2327,1828,2134,1913,4028,1779
4920438883740200,2328,1827,2132,1912,4034,1779
4920438883757900,2327,1826,2131,1912,4069,1779
4920438883775500,2327,1828,2131,1910,4030,1780
4920438883793100,2324,1826,2130,1912,4064,1777
4920438883810700,2325,1826,2131,1911,4032,1779
4920438883829500,2327,1825,2132,1912,4032,1776
4920438883847200,2327,1825,2130,1910,4072,1779
4920438883866300,2326,1826,2133,1912,4026,1778
4920438883884600,2326,1827,2130,1912,4027,1780
4920438883901400,2327,1825,2129,1914,4034,1778
4920438883918000,2326,1844,2131,1912,4033,1954
4920438883938400,2326,1679,2131,1911,4062,1779
4920438883956500,2327,1826,2132,1912,4027,1778
4920438883975100,2327,1826,2130,1912,4028,1780
4920438883996300,2326,1827,2130,1912,4047,1777
4920438884014100,2328,1826,2132,1911,4036,1824
4920438884031700,2326,1826,2137,1912,4032,1776
4920438884052400,2326,1826,2130,1913,4030,1779
4920438884068500,2328,1827,2131,1911,4032,1779
4920438884084700,2326,1827,2128,1912,4031,1779
4920438884100900,2326,1825,2131,1911,4033,1546
4920438884121400,2330,1824,2130,1912,4031,1779
4920438884139100,2325,1826,2130,1913,4038,1779
4920438884156700,2326,1827,2130,1912,4028,1778
4920438884174300,2325,1826,2138,1912,4033,1782
4920438884191900,2328,1825,2130,1913,4025,1780
4920438884209500,2326,1826,2132,1913,4075,1780
4920438884229800,2324,1826,2128,1916,4030,1778
4920438884246000,2327,1830,2131,1912,4032,1779
4920438884264200,2328,1824,2131,1911,4033,1820
4920438884282200,2327,1827,2130,1913,4029,1778
4920438884300000,2328,1826,2130,1911,4032,1780
4920438884317700,2328,1826,2130,1913,4032,1778
4920438884337500,2328,1825,2132,1913,4029,1779
4920438884355300,2326,1848,2131,1912,4026,1747
4920438884373600,2348,1826,2130,1912,4029,1779
4920438884392300,2327,1826,2130,1913,4036,1779
4920438884408400,2328,1824,2144,1911,4035,1774
4920438884424800,2326,1827,2130,1912,4034,1778
4920438884441100,2328,1827,2130,1912,4031,1777
4920438884485500,2327,1826,2131,1912,4032,1779
4920438884513300,2328,1827,2132,1912,4027,1779
4920438884530700,2450,1826,2130,1913,4029,1780
4920438884549800,2326,1825,2131,1913,4031,1777
4920438884565100,2327,1826,2130,1912,4034,1780
4920438884580500,2327,1826,2131,1911,4029,1780
4920438884596300,2326,1826,2130,1911,4074,1779
4920438884613300,2328,1825,2130,1911,4031,1778
4920438884628700,2326,1826,2130,1912,4030,1778
4920438884645300,2328,1825,2132,1913,4032,1827
4920438884660600,2327,1825,2130,1912,4095,1778
4920438884680200,2325,1826,2131,1911,4033,1779
4920438884695700,2328,1826,2130,1913,4032,1778
