Time_Sec,CH0-ThumbLow,CH1-ThumbUp,CH2-Pointer,CH3-Middle,CH4-Ring,CH5-Pinky
4920920997930700,1284,1855,2883,2742,4032,2660
4920920998272400,1284,1855,2885,2741,4031,2661
4920920998717000,1409,1855,2882,2742,4035,2661
4920920999020800,1282,1856,2882,2743,4029,2660
4920920999341100,1283,1855,2881,2743,4032,2660
4920920999633400,1284,1856,2883,2742,4034,2662
4920920999702900,1283,1856,2881,2741,4032,2662
4920920999931400,1284,1857,2882,2742,4029,2660
4920921000230700,1283,1856,2882,2742,4040,2662
4920921000513700,1284,1856,2882,2742,4028,2741
4920921000709900,1282,1856,2881,2740,4095,2662
4920921000874500,1283,1856,2882,2743,4033,2661
4920921000952800,1282,1855,2881,2743,4032,2660
4920921001168400,1284,1856,2883,2741,4032,2660
4920921001250700,1285,1856,2883,2742,4029,2661
4920921001477700,1282,1857,2884,2743,4030,2660
4920921001552000,1284,1856,2882,2740,4076,2661
4920921001798700,1285,1872,2882,2742,4028,2662
4920921001866200,1286,1855,2881,2742,4031,2660
4920921002085900,1284,1855,2882,2742,4031,2662
4920921002379500,1283,1856,2882,2742,4032,2660
4920921002452100,1284,1856,2881,2741,4080,2663
4920921002680100,1284,1856,2892,2743,4028,2662
4920921002793100,1284,1855,2882,2743,4030,2660
4920921002861000,1282,1857,2882,2740,4059,2662
4920921002948900,1283,1858,2881,2742,4095,2663
4920921003035900,1282,1856,2882,2742,4094,2661
4920921003087100,1282,1855,2883,2742,4031,2661
4920921003156500,1282,1857,2882,2742,4030,2661
4920921003205300,1284,1856,2882,2741,4095,2662
4920921003253800,1283,1856,2893,2744,4030,2662
4920921003302500,1283,1857,2882,2742,4032,2663
4920921003361500,1283,1855,2881,2742,4031,2659
4920921003488600,1282,1901,2883,2742,4052,2663
4920921003608000,1283,1708,2882,2743,4088,2661
4920921003965900,1286,1854,2883,2743,4034,2661
4920921004310500,1284,1856,2882,2742,4032,2661
4920921004456700,1284,1856,2881,2741,3991,2662
4920921004569800,1284,1855,2883,2743,4032,2782
4920921004901100,1283,1856,2902,2745,4030,2664
4920921005339700,1283,1854,2882,2744,4031,2661
4920921005566900,1283,1856,2882,2742,4076,2662
4920921005745300,1293,1856,2881,2742,4032,2661
4920921005938000,1283,1856,2882,2741,4032,2762
4920921006008800,1284,1856,2881,2743,4031,2660
4920921006121800,1284,1856,2882,2742,4057,2663
4920921006239600,1286,1856,2882,2743,4032,2662
4920921006559900,1283,1856,2884,2742,4032,2661
4920921006713600,1282,1856,2882,2743,4029,2660
4920921006996400,1282,1855,2881,2743,4029,2663
4920921007142500,1282,1855,2882,2748,4031,2661
4920921007433400,1283,1878,2883,2742,4032,2662
4920921007623700,1283,1854,2882,2741,4032,2714
4920921007799600,1285,1856,2882,2743,4033,2662
4920921007934100,1283,1856,2882,2744,4048,2661
4920921008075400,1284,1855,2883,2742,4033,2661
4920921008272500,1285,1856,2882,2743,4027,2661
4920921008426500,1282,1961,2883,2742,4033,2661
4920921008576700,1332,1854,2881,2742,4031,2662
4920921008695900,1283,1854,2881,2744,4035,2662
4920921008797000,1283,1854,2918,2743,4033,2658
4920921008879000,1283,1856,2882,2744,4033,2662
4920921009135000,1284,1856,2881,2743,4033,2661
4920921009244200,1283,1856,2883,2742,4032,2660
4920921009365000,1283,1855,2884,2741,4033,2663
4920921009464000,1408,1855,2882,2741,4031,2661
4920921009543400,1282,1855,2882,2742,4031,2661
4920921009624600,1283,1855,2881,2743,4032,2661
4920921009745200,1283,1855,2882,2742,4033,2663
4920921009842900,1284,1856,2882,2742,4033,2661
4920921009923500,1284,1857,2883,2742,4029,2660
4920921009982700,1283,1856,2882,2741,4032,2661
4920921010046600,1282,1856,2882,2741,4032,2740
4920921010145900,1284,1856,2881,2740,4095,2662
4920921010250600,1283,1854,2881,2742,4031,2661
4920921010529900,1282,1855,2881,2744,4036,2661
4920921010681800,1284,1856,2883,2741,4030,2662
4920921010761300,1284,1856,2883,2742,4033,2662
4920921010818100,1283,1855,2882,2742,4033,2661
4920921010876400,1284,1856,2881,2741,4095,2661
4920921010944100,1284,1872,2882,2742,4028,2661
4920921011008100,1287,1857,2881,2742,4030,2661
4920921011090200,1284,1856,2882,2742,4030,2661
4920921011168400,1283,1855,2881,2744,4031,2660
4920921011234100,1283,1855,2881,2741,4084,2662
4920921012012100,1284,1856,2892,2743,4028,2661
4920921012171200,1284,1856,2882,2743,4031,2661
4920921012259300,1284,1855,2881,2741,4060,2662
4920921012494900,1284,1857,2881,2741,4095,2665
4920921012686500,1282,1856,2881,2741,4092,2661
4920921012788300,1283,1856,2882,2743,4042,2661
4920921012874900,1283,1856,2882,2742,4030,2661
4920921013218400,1283,1856,2882,2742,4095,2663
4920921013350500,1284,1856,2892,2743,4028,2662
4920921013479700,1283,1856,2882,2741,4033,2663
4920921013581900,1283,1855,2881,2742,4034,2661
4920921013690000,1283,1897,2883,2742,4054,2663
4920921013766500,1284,1708,2881,2741,4086,2661
4920921013855600,1287,1856,2883,2744,4032,2660
4920921013922600,1284,1856,2882,2742,4032,2661
4920921014022400,1283,1856,2882,2742,4095,2662
4920921014132400,1283,1855,2883,2741,4033,2779
