Timestamp (ISO),CH0,CH1,CH2,CH3,CH4,CH5
2026-01-27 19:30:58.450-0800,2872,1724,1871,1993,1797,4095
2026-01-27 19:30:58.466-0800,3783,1727,1871,1993,1797,4095
2026-01-27 19:30:58.487-0800,2871,1727,1871,1993,1796,4095
2026-01-27 19:30:58.487-0800,3334,1726,1871,1993,1800,4095
2026-01-27 19:30:58.504-0800,3344,1726,1871,1993,1797,4095
2026-01-27 19:30:58.519-0800,2869,1725,1871,1993,1800,4095
2026-01-27 19:30:58.530-0800,3759,1726,1870,1991,1797,4095
2026-01-27 19:30:58.535-0800,3330,1727,1871,1993,1798,4095
2026-01-27 19:30:58.547-0800,2872,1726,1870,1988,1796,4095
2026-01-27 19:30:58.567-0800,3799,1725,1870,1993,1797,4095
2026-01-27 19:30:58.583-0800,2870,1727,1870,1993,1797,4095
2026-01-27 19:30:58.583-0800,3772,1726,1871,1994,1799,4095
2026-01-27 19:30:58.599-0800,3335,1728,1871,1993,1797,4095
2026-01-27 19:30:58.615-0800,2872,1726,1872,1994,1798,4088
2026-01-27 19:30:58.626-0800,3329,1726,1871,1993,1797,4095
2026-01-27 19:30:58.631-0800,3316,1726,1871,1995,1797,4095
2026-01-27 19:30:58.642-0800,2907,1725,1871,1992,1797,4095
2026-01-27 19:30:58.658-0800,3334,1726,1872,1993,1797,4095
2026-01-27 19:30:58.679-0800,2870,1725,1872,1988,1799,4095
2026-01-27 19:30:58.679-0800,3657,1725,1871,1993,1797,4095
2026-01-27 19:30:58.694-0800,3329,1726,1872,1993,1797,4095
2026-01-27 19:30:58.706-0800,2869,1727,1871,1993,1797,4095
2026-01-27 19:30:58.722-0800,3775,1725,1872,1993,1795,4095
2026-01-27 19:30:58.722-0800,2868,1727,1872,1998,1797,4095
2026-01-27 19:30:58.738-0800,3339,1727,1871,1992,1798,4095
2026-01-27 19:30:58.754-0800,3330,1726,1871,1993,1796,4095
2026-01-27 19:30:58.775-0800,2867,1726,1871,1992,1798,4095
2026-01-27 19:30:58.775-0800,3773,1727,1870,1993,1797,4095
2026-01-27 19:30:58.791-0800,3331,1726,1872,1992,1796,4095
2026-01-27 19:30:58.806-0800,2870,1726,1871,1992,1798,4095
2026-01-27 19:30:58.822-0800,3777,1727,1872,1993,1797,4095
2026-01-27 19:30:58.822-0800,2869,1726,1871,1993,1797,4095
2026-01-27 19:30:58.838-0800,3737,1726,1871,1993,1797,4095
2026-01-27 19:30:58.854-0800,3334,1726,1870,1992,1797,4095
2026-01-27 19:30:58.869-0800,2871,1726,1872,1993,1797,4095
2026-01-27 19:30:58.869-0800,3329,1727,1871,1993,1798,4095
2026-01-27 19:30:58.885-0800,3337,1725,1871,1993,1798,4095
2026-01-27 19:30:58.901-0800,2909,1726,1871,1992,1796,4095
2026-01-27 19:30:58.916-0800,3336,1726,1872,1994,1798,4095
2026-01-27 19:30:58.916-0800,2870,1725,1871,1992,1798,4095
2026-01-27 19:30:58.932-0800,3709,1726,1872,1993,1796,4095
2026-01-27 19:30:58.951-0800,3339,1725,1872,1994,1798,4095
2026-01-27 19:30:58.964-0800,2872,1723,1871,1993,1796,4095
2026-01-27 19:30:58.964-0800,3755,1726,1870,1993,1798,4095
2026-01-27 19:30:58.980-0800,2868,1726,1872,1993,1795,4095
2026-01-27 19:30:58.998-0800,3347,1726,1870,1993,1800,4095
2026-01-27 19:30:59.014-0800,3329,1725,1870,1993,1797,4095
2026-01-27 19:30:59.014-0800,2872,1727,1872,1993,1795,4095
2026-01-27 19:30:59.029-0800,3775,1725,1870,1992,1797,4095
2026-01-27 19:30:59.044-0800,3333,1726,1871,1993,1795,4095
2026-01-27 19:30:59.062-0800,2869,1726,1871,1993,1798,4095
2026-01-27 19:30:59.062-0800,3785,1726,1872,1993,1797,4095
2026-01-27 19:30:59.076-0800,2872,1726,1871,1993,1797,4095
2026-01-27 19:30:59.093-0800,3740,1726,1873,1991,1798,4095
2026-01-27 19:30:59.111-0800,3336,1726,1872,1992,1797,4095
2026-01-27 19:30:59.111-0800,2872,1727,1871,1992,1797,4095
2026-01-27 19:30:59.126-0800,3322,1726,1871,1992,1798,4095
2026-01-27 19:30:59.142-0800,3332,1724,1871,1991,1797,4095
2026-01-27 19:30:59.158-0800,2907,1725,1871,1993,1797,4092
2026-01-27 19:30:59.172-0800,3329,1726,1871,1994,1800,4095
2026-01-27 19:30:59.172-0800,2870,1725,1871,1992,1798,4095
2026-01-27 19:30:59.191-0800,3665,1725,1871,1993,1799,4095
2026-01-27 19:30:59.204-0800,3330,1727,1872,1993,1796,4095
2026-01-27 19:30:59.204-0800,2871,1726,1871,1992,1798,4095
2026-01-27 19:30:59.219-0800,3789,1727,1872,1994,1798,4095
2026-01-27 19:30:59.235-0800,2869,1726,1872,1993,1797,4095
2026-01-27 19:30:59.250-0800,3348,1726,1871,1993,1800,4095
