Timestamp (ISO),CH0,CH1,CH2,CH3,CH4,CH5
2026-01-27 19:32:01.590-0800,3284,1724,1828,1963,1837,4095
2026-01-27 19:32:01.605-0800,2891,1723,1828,1965,1832,4089
2026-01-27 19:32:01.605-0800,3277,1722,1829,1965,1836,4095
2026-01-27 19:32:01.621-0800,2869,1719,1829,1964,1838,4092
2026-01-27 19:32:01.636-0800,3613,1726,1828,1964,1836,4095
2026-01-27 19:32:01.654-0800,3298,1723,1828,1964,1838,4095
2026-01-27 19:32:01.654-0800,2871,1722,1828,1963,1836,4095
2026-01-27 19:32:01.667-0800,3675,1723,1830,1966,1837,4095
2026-01-27 19:32:01.685-0800,2866,1722,1828,1963,1837,4095
2026-01-27 19:32:01.701-0800,3278,1724,1828,1964,1838,4095
2026-01-27 19:32:01.702-0800,3289,1723,1828,1963,1837,4095
2026-01-27 19:32:01.717-0800,2870,1723,1828,1964,1838,4095
2026-01-27 19:32:01.734-0800,3731,1723,1826,1964,1838,4095
2026-01-27 19:32:01.749-0800,3289,1723,1828,1963,1839,4095
2026-01-27 19:32:01.750-0800,2868,1723,1828,1963,1838,4095
2026-01-27 19:32:01.766-0800,3721,1723,1829,1964,1840,4095
2026-01-27 19:32:01.781-0800,2871,1723,1828,1964,1840,4095
2026-01-27 19:32:01.797-0800,3673,1722,1829,1962,1840,4091
2026-01-27 19:32:01.797-0800,3284,1723,1828,1964,1841,4091
2026-01-27 19:32:01.813-0800,2869,1723,1829,1964,1841,4095
2026-01-27 19:32:01.829-0800,3298,1724,1829,1964,1839,4095
2026-01-27 19:32:01.844-0800,3290,1722,1828,1964,1841,4095
2026-01-27 19:32:01.844-0800,2891,1723,1829,1963,1839,4095
2026-01-27 19:32:01.861-0800,3289,1723,1829,1967,1840,4095
2026-01-27 19:32:01.877-0800,2870,1725,1828,1964,1840,4095
2026-01-27 19:32:01.893-0800,3585,1723,1827,1964,1840,4095
2026-01-27 19:32:01.893-0800,3291,1724,1828,1963,1839,4095
2026-01-27 19:32:01.908-0800,2871,1722,1828,1962,1838,4095
2026-01-27 19:32:01.925-0800,3697,1722,1829,1964,1840,4095
2026-01-27 19:32:01.941-0800,2869,1723,1830,1964,1840,4095
2026-01-27 19:32:01.941-0800,3280,1722,1829,1965,1840,4095
2026-01-27 19:32:01.956-0800,3260,1723,1828,1965,1838,4095
2026-01-27 19:32:01.972-0800,2869,1723,1828,1964,1840,4094
2026-01-27 19:32:01.988-0800,3703,1724,1828,1964,1839,4095
2026-01-27 19:32:01.988-0800,3308,1723,1828,1963,1839,4095
2026-01-27 19:32:02.004-0800,2869,1725,1827,1963,1839,4095
2026-01-27 19:32:02.020-0800,3739,1723,1829,1964,1839,4095
2026-01-27 19:32:02.036-0800,2868,1723,1828,1963,1840,4095
2026-01-27 19:32:02.036-0800,3679,1723,1829,1964,1840,4095
2026-01-27 19:32:02.051-0800,3293,1724,1828,1962,1840,4095
2026-01-27 19:32:02.068-0800,2871,1723,1827,1964,1840,4095
2026-01-27 19:32:02.084-0800,3294,1724,1829,1961,1839,4095
2026-01-27 19:32:02.084-0800,3295,1724,1828,1963,1839,4095
2026-01-27 19:32:02.100-0800,2894,1723,1828,1964,1839,4095
2026-01-27 19:32:02.115-0800,3300,1722,1829,1965,1838,4095
2026-01-27 19:32:02.133-0800,2869,1723,1828,1964,1840,4095
2026-01-27 19:32:02.133-0800,3613,1722,1829,1965,1840,4095
2026-01-27 19:32:02.147-0800,3293,1724,1828,1963,1839,4095
2026-01-27 19:32:02.163-0800,2871,1724,1828,1963,1839,4095
2026-01-27 19:32:02.182-0800,3673,1723,1829,1965,1838,4095
2026-01-27 19:32:02.183-0800,2869,1723,1829,1964,1840,4095
2026-01-27 19:32:02.195-0800,3275,1722,1829,1964,1840,4095
2026-01-27 19:32:02.213-0800,3292,1723,1828,1964,1840,4095
2026-01-27 19:32:02.226-0800,2871,1724,1828,1964,1841,4095
2026-01-27 19:32:02.226-0800,3701,1723,1828,1963,1839,4095
2026-01-27 19:32:02.242-0800,3288,1723,1829,1963,1838,4095
2026-01-27 19:32:02.258-0800,2870,1723,1828,1963,1839,4095
2026-01-27 19:32:02.273-0800,3705,1722,1829,1965,1839,4095
2026-01-27 19:32:02.278-0800,2869,1724,1828,1965,1839,4095
2026-01-27 19:32:02.294-0800,3681,1725,1828,1963,1841,4093
2026-01-27 19:32:02.305-0800,3322,1723,1828,1964,1840,4095
2026-01-27 19:32:02.323-0800,2868,1723,1829,1963,1841,4095
2026-01-27 19:32:02.323-0800,3293,1724,1829,1964,1840,4081
2026-01-27 19:32:02.337-0800,3295,1711,1829,1963,1839,4094
2026-01-27 19:32:02.355-0800,2903,1728,1832,1968,1843,4095
2026-01-27 19:32:02.372-0800,3309,1727,1833,1968,1844,4095
2026-01-27 19:32:02.372-0800,2871,1728,1834,1969,1845,4095
2026-01-27 19:32:02.386-0800,3627,1727,1833,1967,1844,4095
2026-01-27 19:32:02.401-0800,3315,1729,1833,1966,1844,4095
2026-01-27 19:32:02.421-0800,2872,1727,1832,1970,1844,4095
2026-01-27 19:32:02.421-0800,3741,1727,1834,1968,1843,4095
2026-01-27 19:32:02.434-0800,2869,1729,1833,1968,1843,4095
2026-01-27 19:32:02.450-0800,3309,1727,1832,1968,1844,4095
2026-01-27 19:32:02.466-0800,3312,1729,1832,1973,1843,4095
2026-01-27 19:32:02.471-0800,2872,1728,1834,1968,1843,4095
2026-01-27 19:32:02.484-0800,3737,1728,1832,1968,1844,4094
2026-01-27 19:32:02.497-0800,3294,1728,1833,1969,1845,4095
2026-01-27 19:32:02.517-0800,2872,1727,1833,1968,1844,4095
