Time_Sec,CH0-ThumbLow,CH1-ThumbUp,CH2-Pointer,CH3-Middle,CH4-Ring,CH5-Pinky
4921776691183500,2490,1414,2038,1910,4036,1869
4921776691623400,2491,1415,2041,1909,4030,1870
4921776691895300,2490,1415,2039,1911,4032,1870
4921776692424000,2489,1415,2040,1910,4031,1870
4921776692774300,2491,1414,2039,1910,4032,1870
4921776693017300,2490,1425,2038,1909,4027,1871
4921776693367800,2490,1413,2038,1909,4030,1870
4921776693653700,2489,1412,2017,1910,4031,1870
4921776693944300,2489,1413,2039,1925,4031,1869
4921776694183600,2489,1414,2038,1909,4031,1870
4921776694303100,2490,1414,2039,1910,4030,1871
4921776694518000,2490,1414,2040,1910,4032,1870
4921776694720200,2490,1415,2038,1909,4037,1870
4921776695043600,2491,1417,2039,1910,4029,1871
4921776695271300,2489,1414,2038,1909,4095,1870
4921776695489100,2489,1415,1983,1909,4030,1869
4921776695606400,2489,1414,2040,1910,4027,1872
4921776695681000,2490,1415,2038,1910,4095,1871
4921776695907500,2489,1414,2039,1910,4030,1870
4921776696003900,2490,1414,2039,1910,4030,1870
4921776696075200,2490,1414,2037,1910,4032,1869
4921776696143600,2490,1450,2039,1909,4032,1870
4921776696252000,2488,1263,2039,1909,4095,1869
4921776696393900,2491,1413,2039,1910,4053,1870
4921776696650800,2489,1413,2038,1910,4029,1874
4921776696770400,2490,1413,2038,1910,4095,1871
4921776696970500,2490,1415,2040,1908,4030,1946
4921776697045400,2489,1414,2064,1913,4031,1868
4921776697226700,2489,1414,2038,1910,4031,1870
4921776697312100,2490,1414,2039,1909,4030,1870
4921776697368000,2496,1414,2038,1911,4030,1869
4921776697513300,2489,1414,2039,1909,4029,1997
4921776697710900,2491,1413,2038,1911,4031,1870
4921776697915400,2489,1414,2038,1908,4076,1871
4921776697991100,2490,1414,2039,1910,4029,1871
4921776698058900,2489,1415,2036,1909,4032,1881
4921776698115600,2490,1414,2040,1910,4029,1869
4921776698171800,2489,1414,2039,1909,4095,1870
4921776698228800,2484,1413,2040,1920,4031,1870
4921776698281600,2488,1414,2039,1910,4032,1870
4921776698453600,2489,1414,2039,1903,4030,1870
4921776698506500,2490,1415,2037,1912,4031,1870
4921776698640700,2490,1414,2039,1908,4044,1870
4921776698694600,2489,1414,2039,1909,4032,1870
4921776698748000,2491,1413,2040,1911,4029,1870
4921776698936400,2489,1509,2040,1911,4032,1869
4921776699006100,2535,1414,2038,1910,4029,1870
4921776699059900,2491,1413,2037,1912,4034,1870
4921776699113300,2491,1414,2075,1911,4031,1870
4921776699356600,2489,1414,2038,1910,4031,1869
4921776699424000,2489,1414,2038,1911,4030,1869
4921776699474300,2490,1413,2040,1909,4052,1870
4921776699523400,2490,1413,2044,1909,4031,1870
4921776699570700,2607,1414,2039,1913,4031,1870
4921776699616800,2488,1415,2039,1910,4028,1869
4921776699666900,2490,1415,2039,1908,4032,1869
4921776699942200,2489,1414,2038,1910,4042,1870
4921776700350400,2490,1415,2039,1910,4095,1870
4921776700606200,2489,1414,2040,1909,4030,1869
4921776701094600,2490,1414,2039,1909,4032,1871
4921776701379800,2491,1414,2040,1909,4038,1941
4921776701675700,2489,1414,2038,1910,4095,1870
4921776701764800,2489,1414,2039,1911,4032,1870
4921776701860800,2490,1415,2038,1910,4032,1869
4921776702010700,2489,1414,2040,1909,4030,1870
4921776702385400,2489,1414,2039,1910,4032,1869
4921776702726300,2489,1414,2040,1910,4032,1869
4921776703052400,2488,1414,2038,1909,4095,1869
4921776703487700,2490,1426,2039,1910,4024,1870
4921776703609800,2492,1414,2038,1910,4032,1872
4921776704132600,2489,1414,2019,1909,4031,1869
4921776704245600,2489,1413,2040,1929,4031,1869
4921776704469900,2491,1415,2038,1909,4031,1871
4921776704554400,2490,1414,2039,1910,4030,1870
4921776704802500,2490,1415,2040,1910,4031,1869
4921776704901900,2491,1414,2038,1908,4038,1871
4921776704971800,2489,1416,2040,1910,4029,1871
4921776705032000,2488,1414,2038,1910,4095,1869
4921776705105300,2488,1414,2039,1910,4030,1869
4921776705192000,2489,1414,2038,1910,4029,1869
4921776705276200,2490,1414,2039,1909,4031,1870
4921776705540500,2490,1415,2039,1910,4030,1869
