Time_Sec,CH0-ThumbLow,CH1-ThumbUp,CH2-Pointer,CH3-Middle,CH4-Ring,CH5-Pinky
4920818001975100,2357,1827,2074,1905,4028,1968
4920818002507100,2357,1828,2074,1905,4030,1970
4920818003108100,2363,1827,2074,1905,4031,1969
4920818003566800,2358,1828,2074,1904,4036,2024
4920818004010300,2359,1827,2073,1906,4028,1969
4920818004443800,2357,1829,2075,1905,4031,1969
4920818004878200,2357,1828,2074,1905,4028,1969
4920818005288300,2357,1828,2072,1905,4032,1976
4920818005742800,2357,1828,2074,1905,4028,1969
4920818006150000,2356,1828,2075,1905,4095,1970
4920818006522600,2356,1826,2074,1912,4030,1968
4920818007221600,2356,1828,2076,1904,4029,1970
4920818007652600,2359,1826,2074,1904,4032,1969
4920818007969600,2356,1828,2073,1906,4028,1969
4920818008306100,2357,1828,2074,1906,4029,1969
4920818008622200,2358,1828,2075,1905,4029,1969
4920818008857700,2357,1827,2076,1905,4030,1968
4920818009166600,2356,1886,2076,1905,4032,1969
4920818009301400,2390,1827,2073,1902,4030,1967
4920818009373900,2357,1827,2073,1907,4035,1969
4920818009438800,2357,1826,2097,1906,4029,1969
4920818009512300,2359,1827,2074,1905,4030,1969
4920818009584400,2357,1826,2074,1908,4033,1969
4920818009859200,2357,1827,2075,1905,4044,1968
4920818009965800,2357,1828,2078,1906,4033,1967
4920818010032200,2475,1827,2075,1908,4028,1969
4920818010152400,2356,1828,2076,1904,4031,1968
4920818010481000,2358,1828,2075,1905,4032,1969
4920818010777900,2358,1828,2075,1906,4032,1970
4920818010903800,2358,1827,2074,1905,4028,1969
4920818011079500,2357,1828,2074,1905,4030,1968
4920818011298600,2358,1827,2075,1904,4032,1970
4920818011377400,2358,1828,2075,1904,4034,2021
4920818011536300,2357,1827,2073,1904,4095,1969
4920818011607500,2357,1828,2074,1904,4033,1969
4920818011761300,2358,1827,2074,1906,4032,1968
4920818011828400,2357,1827,2077,1905,4030,1968
4920818012048800,2358,1828,2075,1906,4032,1968
4920818012104000,2356,1828,2076,1748,4034,1968
4920818012247300,2357,1828,2074,1904,4032,1969
4920818012303500,2357,1838,2075,1905,4025,1969
4920818012439600,2361,1828,2074,1905,4030,1968
4920818012495500,2356,1827,2055,1905,4034,1968
4920818012633300,2357,1827,2075,1905,4031,1968
4920818012687700,2358,1828,2075,1904,4074,1970
4920818012757200,2356,1829,2086,1906,4027,1969
4920818012883300,2357,1827,2075,1905,4033,1969
4920818012940800,2357,1829,2074,1905,4032,1969
4920818013028500,2358,1828,2075,1905,4033,1971
4920818013091600,2356,1828,2074,1906,4080,1969
4920818013178600,2357,1827,2075,1904,4034,1968
4920818013302500,2358,1826,2076,1904,4030,1968
4920818013389400,2358,1827,2075,1904,4030,1969
4920818013634300,2358,1828,2085,1906,4028,1970
4920818013998000,2357,1828,2075,1904,4028,1970
4920818014091900,2357,1827,2073,1905,4034,1969
4920818014301600,2356,1856,2075,1904,4028,1969
4920818014398700,2357,1681,2074,1904,4082,1968
4920818014619000,2360,1827,2075,1908,4030,1968
4920818014738500,2357,1828,2074,1906,4029,1969
4920818014823900,2357,1828,2074,1905,4086,1969
4920818015091300,2357,1827,2076,1906,4032,2035
4920818015206900,2358,1826,2089,1906,4032,1966
4920818015280700,2358,1828,2074,1906,4032,1969
4920818015337500,2358,1828,2074,1906,4032,1970
4920818015484100,2363,1828,2073,1904,4033,1968
4920818015604100,2358,1828,2076,1904,4040,2028
4920818015724100,2358,1827,2074,1905,4031,1968
4920818015784000,2357,1828,2075,1905,4032,1969
4920818015905300,2357,1828,2075,1905,4032,1969
4920818015999500,2358,1828,2074,1905,4029,1976
4920818016139300,2358,1827,2074,1905,4031,1968
4920818016194300,2356,1828,2075,1905,4095,1970
4920818016422000,2357,1827,2074,1913,4031,1967
4920818016609400,2356,1828,2075,1905,4030,1968
4920818016675700,2357,1827,2073,1905,4031,1969
4920818016761000,2356,1828,2073,1906,4031,1968
4920818016860300,2356,1828,2074,1906,4032,1968
4920818017085200,2358,1828,2075,1905,4032,1969
4920818017292400,2357,1827,2075,1906,4029,1969
4920818017505600,2356,1893,2075,1905,4032,1969
4920818017706200,2395,1827,2074,1904,4031,1967
4920818017845100,2357,1827,2073,1906,4036,1969
4920818017934600,2357,1827,2100,1905,4029,1970
4920818018003900,2357,1827,2074,1907,4034,1969
4920818018186900,2357,1827,2074,1908,4033,1969
4920818018273300,2358,1829,2076,1905,4044,1968
4920818018355200,2357,1828,2078,1905,4031,1969
4920818018623700,2474,1827,2074,1908,4027,1969
4920818018868700,2355,1827,2076,1906,4031,1968
4920818019078400,2356,1829,2075,1904,4032,1967
4920818019362900,2357,1828,2074,1905,4035,1970
4920818019629200,2357,1828,2074,1905,4032,1971
4920818020411700,2356,1827,2074,1905,4029,1968
4920818020552900,2359,1827,2074,1905,4030,1969
4920818020843800,2358,1827,2074,1905,4032,2024
4920818021084600,2358,1828,2074,1904,4095,1969
4920818021252300,2357,1827,2075,1905,4031,1968
4920818021349300,2358,1827,2074,1906,4030,1968
4920818021432100,2357,1829,2076,1905,4032,1969
4920818021552700,2359,1827,2075,1905,4032,1969
4920818021920300,2357,1827,2075,1748,4030,1968
4920818022010700,2357,1827,2074,1904,4029,1968
4920818022134500,2357,1840,2075,1905,4024,1969
4920818022616700,2362,1827,2074,1906,4030,1968
4920818022755800,2356,1827,2054,1905,4031,1968
4920818022911000,2357,1827,2075,1905,4031,1968
4920818023051300,2359,1827,2074,1904,4033,1970
4920818023265500,2356,1827,2085,1905,4027,1969
4920818023398400,2358,1827,2076,1906,4031,1968
4920818023476300,2358,1828,2074,1904,4030,1969
4920818023576100,2356,1828,2075,1904,4032,1969
4920818023658300,2356,1827,2075,1906,4080,1970
4920818023927500,2356,1827,2075,1905,4032,1969
4920818024031100,2356,1827,2076,1905,4032,1968
4920818024120200,2357,1827,2075,1904,4034,1970
4920818024188000,2358,1827,2084,1905,4028,1968
4920818024257900,2357,1829,2075,1904,4030,1970
4920818024320200,2356,1828,2073,1904,4032,1968
4920818024371300,2355,1858,2075,1905,4032,1969
4920818024422700,2356,1680,2075,1904,4080,1969
4920818024507500,2362,1827,2076,1905,4034,1968
4920818024629900,2358,1828,2074,1905,4032,1969
4920818024698100,2358,1828,2071,1904,4033,1967
4920818024765800,2357,1828,2075,1905,4036,2046
4920818024828700,2356,1827,2089,1906,4027,1966
4920818024916100,2358,1827,2074,1905,4029,1970
4920818025265500,2358,1827,2074,1905,4032,1969
4920818025551600,2362,1829,2073,1904,4029,1969
4920818025646000,2358,1827,2075,1904,4034,2036
4920818025881900,2358,1827,2074,1906,4031,1969
4920818025957800,2358,1827,2075,1905,4031,1969
4920818026208300,2356,1827,2075,1904,4032,1970
4920818026527300,2357,1827,2076,1904,4032,1974
4920818026630800,2356,1827,2075,1906,4031,1968
4920818026817900,2356,1827,2074,1905,4095,1970
4920818026899700,2356,1827,2074,1912,4034,1967
4920818027157200,2356,1828,2076,1904,4026,1969
4920818027516000,2357,1824,2075,1905,4032,1970
4920818027598800,2357,1827,2074,1905,4031,1969
4920818027660900,2358,1830,2075,1905,4032,1969
4920818027779600,2357,1828,2075,1904,4032,1970
4920818027840400,2357,1827,2076,1907,4029,1969
4920818027899200,2356,1891,2075,1906,4032,1968
4920818027971100,2393,1828,2073,1902,4030,1969
4920818028062200,2358,1828,2074,1906,4036,1968
4920818028139900,2358,1827,2099,1855,4033,1969
4920818028209400,2358,1827,2073,1906,4031,1968
4920818028326900,2357,1828,2074,1908,4028,1969
4920818028411700,2358,1827,2075,1906,4032,1970
4920818028505500,2358,1827,2078,1905,4027,1969
4920818028628600,2474,1828,2074,1908,4031,1968
4920818028735600,2356,1827,2077,1906,4031,1968
4920818028807600,2357,1829,2075,1905,4032,1968
4920818028866100,2357,1827,2075,1905,4032,1970
4920818029158400,2356,1827,2075,1904,4029,1969
4920818029223400,2357,1828,2075,1904,4032,1968
4920818029280800,2358,1826,2075,1905,4028,1969
4920818029333300,2358,1828,2075,1904,4032,2022
4920818029434900,2360,1828,2074,1904,4095,1969
4920818029570800,2357,1827,2076,1905,4031,1968
4920818029716200,2358,1827,2074,1906,4032,1968
4920818029816500,2356,1827,2077,1905,4028,1969
4920818029905500,2358,1828,2075,1904,4032,1968
4920818029984600,2357,1828,2076,1748,4033,1968
4920818030051300,2358,1827,2074,1904,4032,1968
4920818030114200,2358,1840,2075,1905,4021,1970
4920818030172600,2362,1828,2073,1906,4030,1969
4920818030229200,2356,1828,2057,1905,4035,1968
4920818030304600,2356,1828,2074,1923,4029,1968
4920818030549900,2357,1828,2075,1904,4066,1970
4920818030610400,2357,1828,2084,1906,4032,1969
4920818030661400,2356,1827,2074,1904,4032,1968
4920818030745800,2357,1829,2075,1904,4030,1969
4920818030818300,2356,1827,2075,1905,4028,1969
4920818030910600,2357,1828,2075,1904,4078,1968
4920818030983700,2356,1828,2074,1904,4030,1969
4920818031043800,2357,1827,2076,1906,4032,1968
4920818031107700,2357,1828,2075,1904,4033,1969
4920818031162000,2358,1829,2086,1907,4030,1968
4920818031229000,2358,1828,2075,1905,4031,1969
4920818031288100,2357,1827,2073,1905,4032,1968
4920818031346700,2357,1855,2075,1904,4031,2180
4920818031415000,2356,1681,2073,1905,4081,1968
4920818031474800,2362,1826,2076,1905,4030,1968
4920818031524400,2358,1828,2074,1906,4030,1968
4920818031574200,2356,1826,2075,1903,4033,1968
4920818031626800,2359,1826,2075,1905,4032,2043
4920818031681300,2357,1827,2088,1906,4031,1966
4920818031737500,2358,1826,2074,1906,4031,1969
4920818031791900,2358,1827,2075,1905,4032,1969
4920818031898000,2362,1827,2074,1905,4028,1969
4920818031950900,2356,1828,2075,1903,4033,2027
4920818032013500,2358,1827,2074,1905,4029,1969
4920818032065500,2357,1828,2075,1907,4029,1970
4920818032125700,2357,1828,2074,1905,4029,1969
